Link,Company,Role,One liner,Reward,Locations,Tech Stack,Workplace,Salary,Equity,Visa,YOE,Team Size,Funding,Website,Requirements,Industry
https://paraform.com/company/dub/cm8jgnhrx000jl50c6fb9vce6,dub,Senior Backend Engineer,Invest in people and ideas.,10.5% first year,New York,"AWS, Kafka, Kubernetes, PostgreSQL, Python",Hybrid,$150k - $180k,top 75% tier for companies at their stage,Not available,5+ years,20,US$ 17M,https://www.dubapp.com,"5+ years of experience in backend software engineering building micro services using Python, C#/.NET Core or equivalent languages (Java, Python, NodeJS). Should have mid-level experience (not junior) at startups that have gone through growth phases.",Fintech
https://paraform.com/company/crosby-(stealth)/cm8fi37m10001js0c2yw0dlxo,Crosby (Stealth),Senior Product Engineer,"Welcome to Crosby, the next generation law company.",17.5% first year,New York,"Python, React, Svelte, TypeScript, Vue",On-site,$150k - $200k,0.5%-0.9%,,5+ years,2,-,https://crosbylegal.com/,Tech stack required,Tech
https://paraform.com/company/cotera/cm6h2jt68006pjl0cg3hcet2f,Cotera,Software Engineer,AI for CX teams.,17.5% first year,New York,"GCP, Kubernetes, PostgreSQL, React, TypeScript",Hybrid,$160k - $200k,0.5-2%,Not available,3+ years,8,$6.8m,https://cotera.co/,"Strong grasp of computer science fundamentals and system design.Comfortable diving into unfamiliar codebases and making them better. 3+ years of experience in fullstack engineering. Proficiency in TypeScript, PostgreSQL, React, and Kubernetes.",AI
https://paraform.com/company/koodos/cm8gcf0za008cle0ctu3mrstq,Koodos,Senior Frontend Platform Engineer,Building & enabling agentic cultural products.,14% first year,New York,"React, TypeScript",On-site,$150k - $225k,0.1-1,Available (H1B Transfer accepted),5+ years,8,20M,https://koodos.com/,N/A,N/A
https://paraform.com/company/koodos/cm4ajas73007mjq0cxcfr2eyo,Koodos,Senior Backend Engineer,Building & enabling agentic cultural products.,14% first year,New York,"AWS, Grafana, Kafka, NodeJS, PostgreSQL, Snowflake, TypeScript",On-site,$150k - $225k,0.1-1,Available (H1B Transfer accepted),5+ years,8,20M,https://koodos.com/,N/A,N/A
https://paraform.com/company/basis/cm387uztd000fmo0c9ykt4w1j,Basis,Member of Technical Staff - Applied ML Research,AI platform for Accounting Firms,14.5% first year,New York,"PostgreSQL, Python",On-site,$100k - $300k,,Available (Can sponsor),5+ years,13,$30M+,https://www.getbasis.ai/,"5+ years of experience performing ML related research work; open to exceptional candidates with around 4 years if evidence of exceptional ability, Tech stack: Python, Postgres",AI
https://paraform.com/company/probook-ai/cm7ikwjur0001la0cacngg9w2,Probook AI,Founding Engineer,"Probook is building AI for enterprise home service businesses, starting with dispatching.",22.5% first year,New York,"AWS, GCP, Python, React, TypeScript",On-site,$175k - $250k,0.25%-1%,"Available (TN visa's ok, no H1B)",3+ years,8,-,https://www.probook.ai/,N/A,N/A
https://paraform.com/company/extend/cm72mldey0013jx0cempfbuwo,Extend,Senior Software Engineer,"Modern document processing cloud, reimagined with LLMs",14% first year,New York,"NodeJS, React, TypeScript",On-site,$170k - $225k,0.5% - 1%,Not available,3+ years,6,-,https://www.extend.app/,"3+ years of experience as a full-stack engineer, experience with React, Typescript, Node","AI, Data"
https://paraform.com/company/applied-labs/cm7maj2nl0037l50cnvcisbdk,Applied Labs,Founding Engineer,"High quality, reliable AI support and ops agents for growing businesses",17.5% first year,New York,"Django, GCP, Next.js, PostgreSQL, React",On-site,$150k - $220k,0.5-1.2%,Available (We support transfers and even full sponsorship),4+ years,6,$5.2M,https://appliedlabs.ai,Passion for building high quality products,Tech
https://paraform.com/company/sola/cm7pzxeiy000bkt0c3bf3891s,Sola,Senior Full-Stack Engineer,Sola is copilot for workflow automation.,17.5% first year,New York,"Python, React, TypeScript",Hybrid,$150k - $250k,Competitive,Available,4+ years,6,$500K,https://www.sola-solutions.com/,"4+ years of experience as a full-stack software engineer.Proficiency in Typescript, Python, React.","AI, Enterprise, Devtools"
